LeadID,Region,CustomerSegment,Industry,Product,DealSize,MarketingSpend,LeadScore,Converted,ConversionRate,ExpectedRevenue
1,East,SMB,Healthcare,CRM,18573.0,848.0,0.69,0,0.3241758241758242,6020.917582417583
2,West,MidMarket,Retail,ERP,24530.0,556.0,0.35,1,0.27702702702702703,6795.472972972973
3,North,Enterprise,Manufacturing,ERP,22172.0,2673.0,0.32,0,0.2621951219512195,5813.39024390244
4,East,MidMarket,Healthcare,CRM,15746.0,1885.0,0.45,0,0.3241758241758242,5104.472527472528
5,East,Enterprise,Finance,CRM,12590.0,2022.0,0.11,0,0.3241758241758242,4081.3736263736264
6,West,MidMarket,Healthcare,ERP,13571.0,2817.0,0.17,1,0.27702702702702703,3759.5337837837837
7,North,MidMarket,Healthcare,ERP,22050.0,2163.0,0.29,0,0.2621951219512195,5781.40243902439
8,North,Enterprise,Finance,CRM,19607.0,2227.0,0.33,0,0.36813186813186816,7217.961538461539
9,East,SMB,Tech,Analytics,28926.0,2467.0,0.15,0,0.3,8677.8
10,South,SMB,Tech,CRM,25536.0,791.0,0.24,0,0.3448275862068966,8805.517241379312
11,East,SMB,Retail,ERP,25521.0,1400.0,0.19,1,0.28402366863905326,7248.568047337279
12,East,Enterprise,Retail,CRM,21842.0,2921.0,0.08,0,0.3241758241758242,7080.648351648352
13,East,Enterprise,Tech,Analytics,13265.0,2807.0,0.12,0,0.3,3979.5
14,East,SMB,Manufacturing,CRM,22277.0,2710.0,0.59,0,0.3241758241758242,7221.6648351648355
15,West,MidMarket,Healthcare,ERP,20447.0,1630.0,0.28,0,0.27702702702702703,5664.371621621622
16,North,Enterprise,Manufacturing,CRM,12031.0,2643.0,0.1,0,0.36813186813186816,4428.994505494506
17,West,SMB,Healthcare,ERP,28470.0,621.0,0.1,1,0.27702702702702703,7886.959459459459
18,West,MidMarket,Tech,ERP,27716.0,871.0,0.64,0,0.27702702702702703,7678.081081081081
19,West,Enterprise,Retail,CRM,11991.0,1535.0,0.31,1,0.2658959537572254,3188.35838150289
20,East,SMB,Retail,ERP,15535.0,1708.0,0.11,0,0.28402366863905326,4412.307692307692
21,South,MidMarket,Manufacturing,ERP,16150.0,1159.0,0.36,1,0.35333333333333333,5706.333333333333
22,North,SMB,Retail,Analytics,24269.0,1391.0,0.4,0,0.26256983240223464,6372.307262569832
23,South,Enterprise,Tech,Analytics,23463.0,907.0,0.15,0,0.33727810650887574,7913.556213017751
24,West,Enterprise,Manufacturing,Analytics,20311.0,1723.0,0.07,0,0.27058823529411763,5495.917647058824
25,West,Enterprise,Healthcare,Analytics,21917.0,2485.0,0.37,0,0.27058823529411763,5930.482352941176
26,South,SMB,Retail,ERP,10987.0,2153.0,0.34,0,0.35333333333333333,3882.0733333333333
27,South,Enterprise,Finance,CRM,22670.0,769.0,0.41,1,0.3448275862068966,7817.241379310345
28,South,Enterprise,Retail,ERP,19294.0,1719.0,0.23,1,0.35333333333333333,6817.213333333333
29,West,SMB,Healthcare,ERP,15247.0,2244.0,0.28,0,0.27702702702702703,4223.831081081081
30,West,Enterprise,Manufacturing,ERP,9272.0,1825.0,0.33,0,0.27702702702702703,2568.5945945945946
31,North,SMB,Healthcare,CRM,20189.0,1479.0,0.09,0,0.36813186813186816,7432.214285714286
32,North,MidMarket,Finance,Analytics,22499.0,2055.0,0.31,1,0.26256983240223464,5907.558659217877
33,West,SMB,Tech,ERP,8083.0,2922.0,0.34,0,0.27702702702702703,2239.2094594594596
34,South,SMB,Retail,ERP,20129.0,737.0,0.04,0,0.35333333333333333,7112.246666666667
35,South,SMB,Manufacturing,Analytics,20856.0,1475.0,0.32,1,0.33727810650887574,7034.2721893491125
36,North,MidMarket,Tech,ERP,16120.0,1517.0,0.4,0,0.2621951219512195,4226.585365853659
37,West,SMB,Healthcare,CRM,22659.0,1942.0,0.45,1,0.2658959537572254,6024.936416184971
38,North,MidMarket,Manufacturing,ERP,19071.0,880.0,0.27,0,0.2621951219512195,5000.323170731707
39,North,SMB,Tech,ERP,21982.0,942.0,0.1,1,0.2621951219512195,5763.573170731707
40,East,SMB,Manufacturing,Analytics,23740.0,1213.0,0.31,0,0.3,7122.0
41,East,MidMarket,Finance,ERP,23744.0,2890.0,0.2,0,0.28402366863905326,6743.857988165681
42,East,MidMarket,Finance,ERP,27118.0,2335.0,0.59,1,0.28402366863905326,7702.153846153847
43,South,SMB,Retail,CRM,22368.0,2154.0,0.23,0,0.3448275862068966,7713.103448275862
44,West,MidMarket,Retail,Analytics,16661.0,2542.0,0.12,0,0.27058823529411763,4508.270588235294
45,West,Enterprise,Finance,Analytics,15465.0,819.0,0.25,0,0.27058823529411763,4184.647058823529
46,West,MidMarket,Manufacturing,CRM,12557.0,2648.0,0.15,0,0.2658959537572254,3338.8554913294797
47,West,SMB,Finance,ERP,21058.0,1987.0,0.29,1,0.27702702702702703,5833.635135135135
48,East,SMB,Retail,Analytics,29249.0,1338.0,0.18,0,0.3,8774.699999999999
49,South,Enterprise,Finance,Analytics,17491.0,2540.0,0.15,1,0.33727810650887574,5899.331360946746
50,South,SMB,Finance,ERP,23147.0,2506.0,0.35,0,0.35333333333333333,8178.606666666667
51,East,Enterprise,Manufacturing,ERP,14734.0,2614.0,0.21,0,0.28402366863905326,4184.80473372781
52,South,MidMarket,Tech,Analytics,21364.0,789.0,0.42,1,0.33727810650887574,7205.609467455622
53,East,Enterprise,Retail,ERP,28815.0,2923.0,0.32,0,0.28402366863905326,8184.142011834319
54,West,MidMarket,Manufacturing,Analytics,24804.0,2899.0,0.11,1,0.27058823529411763,6711.6705882352935
55,East,Enterprise,Finance,ERP,9004.0,1394.0,0.5,0,0.28402366863905326,2557.3491124260354
56,West,SMB,Finance,ERP,23995.0,665.0,0.69,0,0.27702702702702703,6647.263513513513
57,West,MidMarket,Tech,CRM,24314.0,918.0,0.36,0,0.2658959537572254,6464.994219653178
58,North,SMB,Retail,ERP,21214.0,2982.0,0.42,0,0.2621951219512195,5562.207317073171
59,East,SMB,Retail,CRM,24673.0,1908.0,0.56,0,0.3241758241758242,7998.390109890111
60,North,MidMarket,Healthcare,ERP,14165.0,1392.0,0.18,0,0.2621951219512195,3713.9939024390246
61,East,Enterprise,Retail,Analytics,20443.0,1221.0,0.21,0,0.3,6132.9
62,East,Enterprise,Tech,Analytics,27771.0,1142.0,0.26,0,0.3,8331.3
63,North,MidMarket,Healthcare,ERP,27140.0,2160.0,0.18,0,0.2621951219512195,7115.975609756098
64,North,SMB,Healthcare,ERP,23836.0,1548.0,0.36,0,0.2621951219512195,6249.682926829269
65,East,SMB,Finance,Analytics,13819.0,2914.0,0.04,0,0.3,4145.7
66,South,MidMarket,Finance,ERP,12717.0,2210.0,0.07,0,0.35333333333333333,4493.34
67,West,SMB,Retail,CRM,20802.0,2480.0,0.01,0,0.2658959537572254,5531.167630057803
68,North,SMB,Healthcare,CRM,21265.0,1232.0,0.1,0,0.36813186813186816,7828.324175824177
69,West,SMB,Finance,CRM,19297.0,698.0,0.06,0,0.2658959537572254,5130.994219653178
70,South,SMB,Tech,CRM,14367.0,1720.0,0.41,0,0.3448275862068966,4954.137931034483
71,South,SMB,Finance,CRM,23059.0,1286.0,0.56,1,0.3448275862068966,7951.379310344828
72,South,SMB,Finance,ERP,20771.0,1005.0,0.13,0,0.35333333333333333,7339.086666666667
73,North,SMB,Healthcare,ERP,22029.0,2882.0,0.11,0,0.2621951219512195,5775.8963414634145
74,South,SMB,Healthcare,CRM,24154.0,1610.0,0.12,1,0.3448275862068966,8328.96551724138
75,North,Enterprise,Manufacturing,ERP,18084.0,937.0,0.25,0,0.2621951219512195,4741.536585365854
76,South,SMB,Tech,ERP,16579.0,997.0,0.45,0,0.35333333333333333,5857.913333333333
77,West,SMB,Healthcare,CRM,27753.0,1202.0,0.53,1,0.2658959537572254,7379.410404624276
78,West,MidMarket,Retail,ERP,14698.0,2998.0,0.18,0,0.27702702702702703,4071.7432432432433
79,East,SMB,Tech,ERP,16716.0,1170.0,0.42,1,0.28402366863905326,4747.739644970415
